Accuracy file does not exist, created new file...
elemNum, Linf-norm (rho), L1-norm (rho), L2-norm (rho)
21, 1.971507106264481e-03, 1.202548469375355e-03, 1.331808271005115e-03
21, 1.971507106264481e-03, 1.202548469375355e-03, 1.331808271005115e-03
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596777103893e-06, 2.449659123770483e-06, 2.872536411572286e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
81, 3.862130007692421e-06, 1.310948058383853e-06, 1.596478546521830e-06
21, 1.838212249692495e-03, 1.124536756915525e-03, 1.254693241167870e-03
41, 9.367369666246628e-05, 4.140340493785769e-05, 4.726418769421225e-05
41, 1.081053506324370e-04, 5.033865468864353e-05, 5.705898651435814e-05
81, 5.793596773329135e-06, 2.449659119015511e-06, 2.872536406971998e-06
81, 5.793596773884246e-06, 2.449659119099593e-06, 2.872536407029858e-06
